Title,Salary,City,Country,Years,Pronouns,Race,Orientation,Education
Sr. Art Director,71000," RALEIGH, NC",USA,13,SHE/HER,WHITE,STRAIGHT,COLLEGE
Multimedia Designer,108422," WASHINGTON, D.C.",USA,17,SHE/HER,ASIAN,STRAIGHT,MASTER
Graphic Artist,32500,ALABAMA,USA,1,SHE/HER,WHITE,BI/PAN,COLLEGE
Manager of Digital and Graphic Design,70000,"ALEXANDRIA, VIRGINIA",USA,20,SHE/HER,WHITE,STRAIGHT,COLLEGE
art director,62000,ANCHORAGE,USA,20,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Brand Manager,40000,"ANN ARBOR, MI",USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,40000,"ANN ARBOR, MI",USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Assistant Professor,72000,ARKANSAS,USA,12,SHE/HER,WHITE,STRAIGHT,MASTER
Studio & Design Manager,37500,"ASHEVILLE, NC",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design Manager,44000,"ASHEVILLE, NC",USA,12,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,45000,"ASHEVILLE, NC",USA,15,HE/HIM,WHITE,STRAIGHT,ASSOCIATE
Art Director + Design Lead,102000,ATL,USA,10,HE/HIM,MIXED,STRAIGHT,COLLEGE
Designer,40000,ATLANTA,USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,42000,ATLANTA,USA,2,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Designer,45000,ATLANTA,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,50000,ATLANTA,USA,6,HE/HIM,BLACK,BI/PAN,COLLEGE
Graphic Designer,52000,ATLANTA,USA,2,HE/HIM,WHITE,GAY/LES,CERT.
Graphic Design,52000,ATLANTA,USA,7,SHE/HER,WHITE,GAY/LES,COLLEGE
Sr. Digital Designer,60000,ATLANTA,USA,7,HE/HIM,BLACK,STRAIGHT,COLLEGE
Designer,66750,ATLANTA,USA,3.5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Marketing Coordinator,67000,ATLANTA,USA,7,SHE/HER,WHITE,BI/PAN,COLLEGE
Designer,71000,ATLANTA,USA,9,HE/HIM,WHITE,STRAIGHT,COLLEGE
Associate Designer,75000,ATLANTA,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Visual Designer,83000,ATLANTA,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
CDO,90000,ATLANTA,USA,25,SHE/HER,WHITE,STRAIGHT,COLLEGE
UX Architect,93000,ATLANTA,USA,1.5,HE/HIM,MIXED,GAY/LES,COLLEGE
Art Director,65000,ATLANTA ,USA,2.5,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Creative Team Lead,73900,ATLANTA GA,USA,10,SHE/HER,ASIAN,BI/PAN,COLLEGE
Graphic Designer,55000,"ATLANTA, GA",USA,10,SHE/HER,WHITE,BI/PAN,COLLEGE
Designer,57000,"ATLANTA, GA",USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Digital Designer,62000,"ATLANTA, GA",USA,5,SHE/HER,WHITE,BI/PAN,COLLEGE
Senior Designer,62500,"ATLANTA, GA",USA,7,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Graphic Designer / Art Director,65000,"ATLANTA, GA",USA,4.5,SHE/HER,WHITE,BI/PAN,COLLEGE
Senior Designer,80000,"ATLANTA, GA",USA,5,SHE/HER,ASIAN,STRAIGHT,MASTER
Senior graphic designer,80000,"ATLANTA, GA",USA,35,HE/HIM,MIXED,STRAIGHT,COLLEGE
Senior Designer,85000,"ATLANTA, GA",USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
UI/UX Designer,92500,"ATLANTA, GA",USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
graphic designer,50000,"ATLANTA, GEORGIA",USA,3,SHE/HER,LATINO/HISPANIC,BI/PAN,MASTER
Designer,80000,"ATLANTA, GEORGIA",USA,7,SHE/HER,WHITE,BI/PAN,COLLEGE
Designer,45000,AUSTIN,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Visual Designer,60000,AUSTIN,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Brand Designer,73000,AUSTIN,USA,10,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Chief Experience Officer,80000,AUSTIN,USA,3,HE/HIM,WHITE,GAY/LES,COLLEGE
Senior Designer,80000,AUSTIN,USA,12,HE/HIM,WHITE,STRAIGHT,COLLEGE
Design Manager,89000,AUSTIN,USA,10,HE/HIM,WHITE,STRAIGHT,HIGHSCHOOL
UX Designer,89000,AUSTIN,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
UI/UX Designer,90000,AUSTIN,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Visual Designer,100000,AUSTIN,USA,8,SHE/HER,ASIAN,STRAIGHT,COLLEGE
UX Designer,107000,AUSTIN,USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
UX Manager,120500,AUSTIN,USA,11,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Designer,168000,AUSTIN,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Designer,45000,AUSTIN TX,USA,1.5,NON-BINARY,WHITE,QUEER/FLUID,COLLEGE
Visual Designer,98000,AUSTIN TX,USA,1,SHE/HER,LATINO/HISPANIC,BI/PAN,COLLEGE
Presentation designer ,51000,AUSTIN TX ,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer ,36500,"AUSTIN, TEXAS",USA,5,HE/HIM,WHITE,STRAIGHT,ASSOCIATE
Graphic Designer,40000,"AUSTIN, TEXAS",USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,60000,"AUSTIN, TEXAS",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design Director,85000,"AUSTIN, TEXAS",USA,12,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Interaction Designer ,115000,"AUSTIN, TEXAS",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,40000,"AUSTIN, TX",USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,44900,"AUSTIN, TX",USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Production Artist,48650,"AUSTIN, TX",USA,4,SHE/HER,MIXED,STRAIGHT,COLLEGE
Marketing Graphic Designer,59500,"AUSTIN, TX",USA,6,SHE/HER,MIXED,BI/PAN,COLLEGE
